train_dataset = ,[],test_datset = ,
celltype = ,celltype2,method = ,citeseq
remove_nonshared = ,False,merge = ,,use_raw = ,False,genes_to_use = ,
accuracy=,0.73,f1=,0.74
clustering report
ari=,0.83,ami=,0.82
silhouette_celltype=,0.25,silhouette_pred=,0.24
pair confusion matrix
,0,1
0,1033540022,19732294
1,27469242,131168598
classification report
,precision,recall,f1-score,support
B cell,0.97,0.91,0.94,1837.0
"CD4-positive, alpha-beta T cell",0.98,0.92,0.95,8854.0
"CD8-positive, alpha-beta T cell",0.86,0.94,0.9,3992.0
basophil,0.97,0.56,0.71,177.0
classical monocyte,0.96,0.9,0.93,6420.0
common lymphoid progenitor,0.35,0.78,0.48,516.0
cytotoxic CD56-dim natural killer cell,0.0,0.0,0.0,2087.0
erythrocyte,0.79,0.98,0.87,1609.0
granulocyte,0.0,0.0,0.0,1555.0
granulocyte monocyte progenitor cell,0.0,0.0,0.0,0.0
hematopoietic cell,0.0,0.0,0.0,422.0
hematopoietic multipotent progenitor cell,0.53,0.7,0.6,1582.0
hematopoietic stem cell,0.96,0.49,0.65,2320.0
lymphocyte of B lineage,0.0,0.0,0.0,640.0
myeloid dendritic cell,0.8,0.69,0.74,375.0
myeloid leukocyte,0.0,0.0,0.0,773.0
natural killer cell,0.0,0.0,0.0,0.0
neutrophil,0.0,0.0,0.0,0.0
non-classical monocyte,0.96,0.66,0.78,429.0
plasma cell,1.0,0.72,0.84,86.0
plasmacytoid dendritic cell,0.73,0.88,0.8,426.0
pro-B cell,0.96,0.96,0.96,713.0
accuracy,0.73,0.73,0.73,0.73
macro avg,0.54,0.5,0.51,34813.0
weighted avg,0.76,0.73,0.74,34813.0
